scenario,year,mean,low,high
historical,1850,287.3974243672411,287.00749363964604,287.7873550948362
historical,1851,287.1683148744196,286.8213617532056,287.666598352925
historical,1852,287.20298177671964,286.83013241651213,287.60427075820695
historical,1853,287.1949931865544,286.8890180499264,287.62501376260144
historical,1854,287.3160535074858,287.0688798064502,287.738122089186
historical,1855,287.21054496939104,286.9122334823912,287.6442569785367
historical,1856,287.19467909136125,286.9025642132249,287.74022539618136
historical,1857,287.13871481471466,286.7715470077887,287.6431205511163
historical,1858,287.1078879345528,286.8853452502285,287.52040110534875
historical,1859,287.16980037548245,286.90530943393907,287.57480318076165
historical,1860,287.151845890116,286.85413573125874,287.6048768203149
historical,1861,287.19197870111225,286.8760341297954,287.6047137003087
historical,1862,287.06178872588515,286.74657085955744,287.5756419727462
historical,1863,287.1185658330018,286.7752658476855,287.7368398819823
historical,1864,287.19057523150605,286.8841493786646,287.77703506038824
historical,1865,287.10590570079154,286.81867567058896,287.6441352973131
historical,1866,287.1629082472313,286.84208772027847,287.6945220240575
historical,1867,287.21409626674654,286.8784658085288,287.82059164227667
historical,1868,287.1573335987896,286.7976249723785,287.79286515676034
historical,1869,287.19603186258036,286.854670554274,287.68064629211534
historical,1870,287.1934376857398,286.9193969636196,287.6547286301554
historical,1871,287.14846093519105,286.7517326940299,287.7232858681106
historical,1872,287.1976285969395,286.768555363991,287.7295233735869
historical,1873,287.16111578258455,286.81310550179364,287.82551027665863
historical,1874,287.22963954830084,286.81447871139363,287.86683467580684
historical,1875,287.220250116841,286.88494110845664,287.81147122515125
historical,1876,287.1991986173635,286.91803213027555,287.731196731851
historical,1877,287.1669718595803,286.7482783802259,287.7322411257456
historical,1878,287.0677851752007,286.6396832516796,287.59821446250595
historical,1879,287.1154101278209,286.735488067374,287.68838816064107
historical,1880,287.16799973161346,286.8728338494407,287.6813233687057
historical,1881,287.1211802609792,286.84686253741233,287.5956856146891
historical,1882,287.11460507428916,286.7388262955598,287.63654739245493
