year,scenario,tas
1850,historical,287.2056988580425
1851,historical,287.29698134673095
1852,historical,287.13463724557107
1853,historical,287.13748682859745
1854,historical,287.099675270458
1855,historical,286.9535324025497
1856,historical,287.07987345777696
1857,historical,287.1745188623442
1858,historical,287.0451626792761
1859,historical,287.1994259277173
1860,historical,287.3129572692745
1861,historical,287.18654458170954
1862,historical,287.3345085382003
1863,historical,287.31425074745755
1864,historical,287.300811172199
1865,historical,287.19792803795195
1866,historical,287.28328734821605
1867,historical,287.1372350081186
1868,historical,287.079631100477
1869,historical,287.1450474921634
1870,historical,287.0904892738683
1871,historical,287.13085311805696
1872,historical,287.36561305638463
1873,historical,287.32446281987114
1874,historical,287.10308994973525
1875,historical,287.1735552753591
1876,historical,287.09722580958265
1877,historical,287.2108385639112
1878,historical,287.23327289179525
1879,historical,287.29343099038965
1880,historical,287.35375320429506
1881,historical,287.2103343432642
1882,historical,286.9648071577985
1883,historical,287.1484290212229
1884,historical,287.0859219143028
1885,historical,286.93390377809243
1886,historical,286.9690117114421
1887,historical,287.1461899130881
1888,historical,287.1922141748518
1889,historical,286.93048449228195
1890,historical,287.0720365823231
1891,historical,287.2787614455095
1892,historical,287.194056726928
1893,historical,287.2302311381939
1894,historical,287.23962112937573
1895,historical,287.1785238489092
1896,historical,287.1852435264013
1897,historical,287.224275840755
1898,historical,287.26150716406624
1899,historical,287.240197916308
1900,historical,287.2597679187207
1901,historical,287.26464449482506
1902,historical,287.3092308213185
1903,historical,287.22872970443944
1904,historical,287.3490359603508
1905,historical,287.22498688820735
1906,historical,287.2783022960074
1907,historical,287.2356624183463
1908,historical,287.15667729740363
1909,historical,287.1474489278491
1910,historical,287.2766000660028
1911,historical,287.31370498649966
1912,historical,287.0722253513762
1913,historical,287.0498290631301
1914,historical,287.10059524664354
1915,historical,286.98796594531535
1916,historical,287.0762748489189
1917,historical,287.14880959242555
1918,historical,287.2563336720224
1919,historical,287.3008406485041
1920,historical,287.2307993411742
1921,historical,287.2811093906458
1922,historical,287.27376443921895
1923,historical,287.33991806292573
1924,historical,287.34940509771064
1925,historical,287.42414619870675
1926,historical,287.289830250159
1927,historical,287.34306641458573
1928,historical,287.50712229870436
1929,historical,287.5038232169042
1930,historical,287.4739532718832
1931,historical,287.17918166702947
1932,historical,287.336302333106
1933,historical,287.5041563937447
1934,historical,287.50438954316746
1935,historical,287.6070627904724
1936,historical,287.486513985071
1937,historical,287.44823183522243
1938,historical,287.30791770886265
1939,historical,287.3406393366131
1940,historical,287.49360702660056
1941,historical,287.2647106835961
1942,historical,287.4457419244009
1943,historical,287.3683892710465
1944,historical,287.3137434547801
1945,historical,287.3667462692279
1946,historical,287.474955438578
1947,historical,287.1784475335811
1948,historical,287.0243898295043
1949,historical,287.3180300320253
1950,historical,287.2489992558829
1951,historical,287.3489926303152
1952,historical,287.4471863426818
1953,historical,287.445947514392
1954,historical,287.21166183733385
1955,historical,287.4640591387853
1956,historical,287.3254250881269
1957,historical,287.18249501659005
1958,historical,287.42417283970804
1959,historical,287.5489041869137
1960,historical,287.2624653402052
1961,historical,287.2247143203813
1962,historical,287.2862650812371
1963,historical,287.2373839845414
1964,historical,287.3074245707905
1965,historical,287.23968629699493
1966,historical,287.11579082700405
1967,historical,287.16789365564483
1968,historical,287.111747142709
1969,historical,287.14897121897565
1970,historical,287.31751158238797
1971,historical,287.5759716258871
1972,historical,287.37276250622716
1973,historical,287.24198897695965
1974,historical,287.33407627350556
1975,historical,287.2909350646389
1976,historical,287.40782205048964
1977,historical,287.45882421420197
1978,historical,287.32570840216215
1979,historical,287.49199144936625
1980,historical,287.42620175796947
1981,historical,287.4846150397473
1982,historical,287.4675541040604
1983,historical,287.43702221252374
1984,historical,287.52460409657516
1985,historical,287.48612008701235
1986,historical,287.51551034055643
1987,historical,287.6822529730353
1988,historical,287.6794269370098
1989,historical,287.6492543227421
1990,historical,287.7041139230824
1991,historical,287.79109721394974
1992,historical,287.40370532481273
1993,historical,287.6682400701664
1994,historical,287.5881650831809
1995,historical,287.49517644781474
1996,historical,287.6424132332945
1997,historical,287.85732959473467
1998,historical,287.77840308562446
1999,historical,287.74802370699217
2000,historical,287.88382507862
2001,historical,288.0312739164464
2002,historical,288.1055515764346
2003,historical,288.0330705893748
2004,historical,288.04218417394304
2005,historical,288.04247781392615
2006,historical,288.16689176793636
2007,historical,288.2685452678141
2008,historical,288.04876121928237
2009,historical,288.03177271868566
2010,historical,288.09650309441827
2011,historical,288.2085074532378
2012,historical,288.38615783004286
2013,historical,288.3033728009502
2014,historical,288.1454708434978
2015,ssp245,288.4110547620447
2016,ssp245,288.1852625039715
2017,ssp245,288.30936235699863
2018,ssp245,288.3343127954394
2019,ssp245,288.1090144076864
2020,ssp245,288.303812142082
2021,ssp245,288.4098326125127
2022,ssp245,288.3860669644801
2023,ssp245,288.6075609183061
2024,ssp245,288.57844760375394
2025,ssp245,288.6367901358992
2026,ssp245,288.7078867972595
2027,ssp245,288.78512389723653
2028,ssp245,288.71006597514867
2029,ssp245,288.6560175462456
2030,ssp245,288.67499629307946
2031,ssp245,288.9143496807509
2032,ssp245,288.8401489295611
2033,ssp245,288.6974578826202
2034,ssp245,288.8825243788778
2035,ssp245,288.77685074984566
2036,ssp245,288.68586068171004
2037,ssp245,288.8906278635081
2038,ssp245,289.0253405650687
2039,ssp245,289.20453666906354
2040,ssp245,289.10454320870605
2041,ssp245,288.9122995251976
2042,ssp245,289.0891752835271
2043,ssp245,289.3506774225611
2044,ssp245,289.3587559510825
2045,ssp245,289.1232504999459
2046,ssp245,289.2102210004059
2047,ssp245,289.3621758188462
2048,ssp245,289.46317279419117
2049,ssp245,289.44911017609616
2050,ssp245,289.63188187621114
2051,ssp245,289.50555031754124
2052,ssp245,289.46940629645957
2053,ssp245,289.6448251076268
2054,ssp245,289.6008162484131
2055,ssp245,289.7189987067614
2056,ssp245,289.89702972543324
2057,ssp245,289.6899790876455
2058,ssp245,289.51747470268344
2059,ssp245,289.65059622094583
2060,ssp245,289.699750316496
2061,ssp245,289.628084840849
2062,ssp245,289.6829689230535
2063,ssp245,289.65865576641636
2064,ssp245,289.9782392220152
2065,ssp245,289.8898821821993
2066,ssp245,289.7246279341486
2067,ssp245,289.874794360033
2068,ssp245,289.96971893222633
2069,ssp245,289.94171901576493
2070,ssp245,289.95473277591395
2071,ssp245,289.72912451006897
2072,ssp245,289.7923167724185
2073,ssp245,290.15262630976736
2074,ssp245,290.17894503904967
2075,ssp245,290.2737688330651
2076,ssp245,290.0073062054006
2077,ssp245,290.1607129019768
2078,ssp245,290.21868228943987
2079,ssp245,290.1035871812905
2080,ssp245,290.24734326460253
2081,ssp245,290.3124408468388
2082,ssp245,290.2089329936528
2083,ssp245,290.18071757560614
2084,ssp245,290.12557253322785
2085,ssp245,290.29027806984703
2086,ssp245,290.3076707586594
2087,ssp245,290.3743678375527
2088,ssp245,290.1861118014277
2089,ssp245,290.4085170277445
2090,ssp245,290.40789159965146
2091,ssp245,290.5123355847382
2092,ssp245,290.66580650454
2093,ssp245,290.6622549989833
2094,ssp245,290.6091207378925
2095,ssp245,290.6039384282577
2096,ssp245,290.64925846400484
2097,ssp245,290.68342477999806
2098,ssp245,290.3901406972265
2099,ssp245,290.5365273425812
2100,ssp245,290.796637789331
2015,ssp585,288.3534760136983
2016,ssp585,288.3808722362213
2017,ssp585,288.2264153379781
2018,ssp585,288.1488223859034
2019,ssp585,288.44394876839203
2020,ssp585,288.4886138551523
2021,ssp585,288.57391940942176
2022,ssp585,288.57454780470636
2023,ssp585,288.5032182894103
2024,ssp585,288.6207029217991
2025,ssp585,288.5076404690715
2026,ssp585,288.5359045821229
